CATEGORY,SUB_CATEGORY,KEYWORD,DE,EN
CULTURE,CULTURE-HIGH,art, Kunst Künst,art   artistic
CULTURE,CULTURE-HIGH,dance, tanz, dance
CULTURE,CULTURE-POPULAR,media, Medien, media
CULTURE,<NONE>,people, Mensch, people
ECONOMY,+STATE+,accommodation, Unterkunft, accommodation
ECONOMY,+STATE+,age, Alter, age
ECONOMY,+STATE+,ambulance, Krankenwagen Ambulanz, ambulance
ECONOMY,+STATE+,assist, helf, assist
ECONOMY,+STATE+,benefit, Vorteil Wohlltat, benefit
ECONOMY,+STATE+,care, Pflege, care
ECONOMY,+STATE+,class, Klasse, class
ECONOMY,+STATE+,clinics, Klinik Krankenhaus, clinics
ECONOMY,+STATE+,deprivation, Entbehrung, deprivation
ECONOMY,+STATE+,disabilities, Behinderungen, disabilities
ECONOMY,+STATE+,disadvantaged, benachteiligt, disadvantaged
ECONOMY,+STATE+,elderly, Alten, elderly
ECONOMY,+STATE+,establish, Gründen, establish
ECONOMY,+STATE+,hardship, Not, hardship
ECONOMY,+STATE+,hunger, Hunger, hunger
ECONOMY,+STATE+,investment, invest, invest
ECONOMY,+STATE+,patients, Patient, patients
ECONOMY,+STATE+,pension,Pension Rente, pension
ECONOMY,+STATE+,poverty, Armut, poverty
ECONOMY,+STATE+,school, Schule Erzieh, school
ECONOMY,+STATE+,transport, Transport, transport
ECONOMY,=STATE=,accounting, Buchhalt Konto, accountant  accounting  accounts
ECONOMY,=STATE=,bargaining,Verhand, bargaining
ECONOMY,=STATE=,electricity, Elektrit, electric
ECONOMY,=STATE=,fee, Gebühr, fee
ECONOMY,=STATE=,import, import, import
ECONOMY,=STATE=,export,export,export
ECONOMY,=STATE=,jobs, Arbeitsplätze Stellen, jobs
ECONOMY,=STATE=,opportunity, Gelegenheit, opportunity
ECONOMY,=STATE=,performance, Performance, performance
ECONOMY,=STATE=,productivity, Produktivität, productivity
ECONOMY,=STATE=,settlement, Siedlung Orte, settlement
ECONOMY,=STATE=,software, Software, software
ECONOMY,=STATE=,supply, liefer, supply
ECONOMY,=STATE=,trade, Handel, trade
ECONOMY,=STATE=,welfare, Wohlergehen Wohlfahrt, welfare
ECONOMY,-STATE-,assets, Vermögen, assets
ECONOMY,-STATE-,autonomy, Autonomie, autonomy
ECONOMY,-STATE-,bid, bieten Bieter , bid
ECONOMY,-STATE-,confidence, Vertrauen, confidence
ECONOMY,-STATE-,confiscatory, konfiszier, confiscatory
ECONOMY,-STATE-,control, kontrolliert überwacht, control
ECONOMY,-STATE-,corporation, Unternehmen Firma, corporat company enterprise  entrepreneur
ECONOMY,-STATE-,deregulating, deregulier, deregulat
ECONOMY,-STATE-,expensive, teuer, expensive
ECONOMY,-STATE-,fund, Fonds, fund-holding
ECONOMY,-STATE-,initiative, Initiative, initiative
ECONOMY,-STATE-,intrusive, aufdringlich, intrusive
ECONOMY,-STATE-,money, Geld monetär, monetary money
ECONOMY,-STATE-,private, privat, private
ECONOMY,-STATE-,privatization,Privatisie,privati
ECONOMY,-STATE-,profitable, profitabel, profitable
ECONOMY,-STATE-,risk, Risik, risk
ECONOMY,-STATE-,savings, Ersparnisse Spar, savings
ECONOMY,-STATE-,shares, Anteile, shares
ECONOMY,-STATE-,sponsorship, Sponsoring, sponsorship
ECONOMY,-STATE-,Steuer, steuer, tax
ECONOMY,-STATE-,trading, Handel, trading
ECONOMY,-STATE-,value, Wert, value
ENVIRONMENT,PRO ENVIRONMENT,car, Auto, car automobil
ENVIRONMENT,PRO ENVIRONMENT,catalytic, katalytisch, catalytic
ENVIRONMENT,PRO ENVIRONMENT,congestion, Überlastung Stau, congestion traffic-jam
ENVIRONMENT,PRO ENVIRONMENT,energy-saving, Energie-sparen, energy-saving
ENVIRONMENT,PRO ENVIRONMENT,fur, Pelz, fur
ENVIRONMENT,PRO ENVIRONMENT,green, Grün, green
ENVIRONMENT,PRO ENVIRONMENT,opencast, Opencast, opencast
ENVIRONMENT,PRO ENVIRONMENT,ozone, Ozon, ozone
ENVIRONMENT,PRO ENVIRONMENT,planet, Planet, planet
ENVIRONMENT,PRO ENVIRONMENT,population, Population, population
ENVIRONMENT,PRO ENVIRONMENT,re-use, Wiederverwendung, re-use
ENVIRONMENT,PRO ENVIRONMENT,toxic, giftig, toxic
ENVIRONMENT,PRO ENVIRONMENT,eco,Öko,eco-
ENVIRONMENT,PRO ENVIRONMENT,warming, Erwärmen, warming
GROUPS,ETHNIC,minority,Minderheit, minority
GROUPS,ETHNIC,racism, Rasse Rassistisch, race racism
GROUPS,WOMEN,girl, Mädchen, girl
GROUPS,MAN,boy,Jungen Knaben Bube,boy
GROUPS,MAN,man,Mann männl maskulin,man men male
INSTITUTIONS,CONSERVATIVE,authority, Behörde, authority
INSTITUTIONS,CONSERVATIVE,legitimate, legitim, legitimate
INSTITUTIONS,CONSERVATIVE,moratorium, Moratorium, moratorium
INSTITUTIONS,CONSERVATIVE,whitehall, Whitehall, whitehall
INSTITUTIONS,NEUTRAL,party,Partei,party
INSTITUTIONS,NEUTRAL,parlament,Parlament,parlament
INSTITUTIONS,NEUTRAL,assembly, Versammlung, assembly
INSTITUTIONS,NEUTRAL,headquarters, Hauptquartier, headquarters
INSTITUTIONS,NEUTRAL,office, Büro, office
INSTITUTIONS,NEUTRAL,official,Amt, official
INSTITUTIONS,NEUTRAL,opposition, Opposition, opposition
INSTITUTIONS,NEUTRAL,queen, Königin, queen
INSTITUTIONS,NEUTRAL,voting, Wählen, voting
INSTITUTIONS,NEUTRAL,westminster, Westminster, westminster
INSTITUTIONS,RADICAL,abolition, Abschaffung, abolition
INSTITUTIONS,RADICAL,scrap, Schrott, scrap
LAW_AND_ORDER,LAW-CONSERVATIVE,assaults, Angriffe, assaults
LAW_AND_ORDER,LAW-CONSERVATIVE,bail, Kaution, bail
LAW_AND_ORDER,LAW-CONSERVATIVE,court, Gericht, court
LAW_AND_ORDER,LAW-CONSERVATIVE,dealing, Umgang, dealing
LAW_AND_ORDER,LAW-CONSERVATIVE,deter,Abschreck, deter
LAW_AND_ORDER,LAW-CONSERVATIVE,disorder, Störung, disorder
LAW_AND_ORDER,LAW-CONSERVATIVE,fines, Geldbußen, fines
LAW_AND_ORDER,LAW-CONSERVATIVE,firmness, Festigkeit, firmness
LAW_AND_ORDER,LAW-CONSERVATIVE,police,Poliz, police constab
LAW_AND_ORDER,LAW-CONSERVATIVE,prosecution, Anklage Straf, prosecution
LAW_AND_ORDER,LAW-CONSERVATIVE,theft, Ladendiebstahl Dieb , thiev thiev shop-lifting
LAW_AND_ORDER,LAW-CONSERVATIVE,uniform, uniform, uniform
LAW_AND_ORDER,LAW-CONSERVATIVE,unlawful, rechtswidrig, unlawful
LAW_AND_ORDER,LAW-LIBERAL,harassment, Belästigung, harassment
LAW_AND_ORDER,LAW-LIBERAL,non-custodial, nicht-verwahrend, non-custodial
RURAL,<NONE>,badgers, Dachs, badgers
RURAL,<NONE>,countryside, Landschaft, countryside
RURAL,<NONE>,feed, Futter, feed
RURAL,<NONE>,hens, Hühner, hens
RURAL,<NONE>,livestock, Vieh, livestock
RURAL,<NONE>,meadows, Wiesen, meadows
RURAL,<NONE>,wildlife, Tierwelt, wildlife
VALUES,CONSERVATIVE,defend, verteidig, defend
VALUES,CONSERVATIVE,discipline, Disziplin, discipline
VALUES,CONSERVATIVE,glories, Ruhm, glori glory
VALUES,CONSERVATIVE,grammar, Grammatik, grammar
VALUES,CONSERVATIVE,heritage, Erbe, heritage
VALUES,CONSERVATIVE,integrity, Integrität, integrity
VALUES,CONSERVATIVE,maintainance, pflegen bewahr, maintain
VALUES,CONSERVATIVE,majesty, Majestät, majesty
VALUES,CONSERVATIVE,marriage, Ehe, marriage
VALUES,CONSERVATIVE,past, Vergangenheit, past
VALUES,CONSERVATIVE,pride, Stolz, pride
VALUES,CONSERVATIVE,probity, Redlichkeit, probity
VALUES,CONSERVATIVE,professionalism, Professionalität, professionalism
VALUES,CONSERVATIVE,proud, stolz, proud
VALUES,LIBERAL,innocent, unschuldig, innocent
VALUES,LIBERAL,rights, Rechte, rights
CULTURE,CULTURE-HIGH,gallery, galerie, gallery
CULTURE,CULTURE-HIGH,museum, museum, museum
CULTURE,CULTURE-HIGH,music, musik, music
CULTURE,CULTURE-HIGH,opera, oper, opera
CULTURE,CULTURE-HIGH,theatre, theat, theatre
CULTURE,SPORT,football,Fussball,football soccer
ECONOMY,+STATE+,carer, pfleg, carer
ECONOMY,+STATE+,child, kind jugend, child
ECONOMY,+STATE+,collective, kollektiv, collective
ECONOMY,+STATE+,contribution, beitrag, contribution
ECONOMY,+STATE+,cooperative, genossenschaft, cooperative
ECONOMY,+STATE+,co-operative, genossenschaft, co-operative
ECONOMY,+STATE+,educat, bildung erzieh lehr, educat teach
ECONOMY,+STATE+,equality, gleichberechtig, equal
ECONOMY,+STATE+,fair, gerechtig, fair justice
ECONOMY,+STATE+,guarantee, garanti, guarantee
ECONOMY,+STATE+,health, gesund, health
ECONOMY,+STATE+,homeless, obdachlos, homeless
ECONOMY,+STATE+,hospital, krankenhaus klinik, hospital
ECONOMY,+STATE+,inequal, ungleich, inequal
ECONOMY,+STATE+,means-test, bedurftigkeitsprüf, means-test
ECONOMY,+STATE+,nurse, krankenschwester pfeger, nurse
ECONOMY,+STATE+,underfund, unterfinanzier, underfund
ECONOMY,+STATE+,unemploy, arbeitslos, unemploy
ECONOMY,+STATE+,widow, witwen, widow
ECONOMY,=STATE=,advert, inserat werb, advert
ECONOMY,TRANSPORTATION,airline, fluggesellschaft, airline
ECONOMY,TRANSPORTATION,airport, flughafen airport, airport
ECONOMY,=STATE=,audit, prüf Audit, audit
ECONOMY,=STATE=,bank, bank, bank
ECONOMY,=STATE=,budget, budget Etat, budget
ECONOMY,=STATE=,buy, kauf, buy purchas
ECONOMY,=STATE=,cartel, kartell, cartel
ECONOMY,=STATE=,cash,barzahl, cash
ECONOMY,=STATE=,charge,belasten, charge
ECONOMY,=STATE=,commerce, handel wirtschaft ökonomi, commerce econom
ECONOMY,=STATE=,compensat,Vergüt Lohn Verdien, compensat earn salary wage
ECONOMY,=STATE=,consum, verbrauch konsum, consum spend
ECONOMY,=STATE=,cost, kosten, cost
ECONOMY,=STATE=,credit,Kredit, credit
ECONOMY,=STATE=,customer, kunde, customer
ECONOMY,=STATE=,debt, schuld Debit, debt
ECONOMY,=STATE=,deficit, defizit, deficit
ECONOMY,=STATE=,dwelling, wohn, dwelling
ECONOMY,=STATE=,estate, nachlass, estate
ECONOMY,=STATE=,financ, finanz, financ
ECONOMY,=STATE=,hous,Haus häusl, hous
ECONOMY,=STATE=,industr, industrie, industr
ECONOMY,=STATE=,lease, miet lease, lease
ECONOMY,=STATE=,loan, darleh, loan
ECONOMY,=STATE=,manufacturing, herstell produkt produz, manufact produc
ECONOMY,=STATE=,mortgage, hypothek, mortgage
ECONOMY,=STATE=,negotiat, verhandl , negotiat deal
ECONOMY,=STATE=,partnership, partnerschaft, partnership
ECONOMY,=STATE=,passenger, passagier, passenger
ECONOMY,=STATE=,pay, zahl, pay
ECONOMY,TRANSPORTATION,port,Hafen, port
ECONOMY,=STATE=,profession, beruf, profession
ECONOMY,TRANSPORTATION,railway, eisenbahn bahn zug, railway train
ECONOMY,=STATE=,rebate, abzug, rebate
ECONOMY,=STATE=,recession, rezession, recession
ECONOMY,=STATE=,research, forschung, research
ECONOMY,=STATE=,revenue, einnahm, revenue
ECONOMY,-STATE-,sell, verkauf, sell sale retail
ECONOMY,=STATE=,supplier, lieferant supply, suppl
ECONOMY,=STATE=,telecom, telekom, telecom
ECONOMY,=STATE=,telephon, telefon, telephon phone
ECONOMY,=STATE=,tenan, miet, tenan rent
ECONOMY,=STATE=,tourist, tourist, tourist
ECONOMY,=STATE=,work, arbeit, work
ECONOMY,-STATE-,burden, belast, burden
ECONOMY,-STATE-,charit,Wohlfahrt, charit
ECONOMY,-STATE-,competi, konkurr, compet
ECONOMY,-STATE-,constrain, einschränk, constrain
ECONOMY,-STATE-,contract, vertrags, contract
ECONOMY,-STATE-,dismantle, demontage Abbau, dismantl*
ECONOMY,-STATE-,flexibility, flexib, flexib
ECONOMY,-STATE-,franchise, franchis, franchise
ECONOMY,-STATE-,liberalisation, liberalisier, liberali
ECONOMY,-STATE-,market, markt, market
ECONOMY,-STATE-,ownership, besitz Eigentümer, own
ECONOMY,-STATE-,regulation, regulier, regulat
ECONOMY,-STATE-,thrift, sparsam, thrift
ECONOMY,-STATE-,voluntary, freiwillig, volunt*
ECONOMY,-STATE-,voucher, gutschein gutschrift, voucher
ENVIRONMENT,ENVIRONMENT,chemical, chemi, chemical
ENVIRONMENT,ENVIRONMENT,chimney, kamin schlote, chimney
ENVIRONMENT,ENVIRONMENT,clean, sauber, clean
ENVIRONMENT,ENVIRONMENT,cyclist, radfahr Fahrrad, cyclist bike bicycle
ENVIRONMENT,ENVIRONMENT,deplet, erschöpft, deplet
ENVIRONMENT,ENVIRONMENT,ecology, ökologi umwelt  lebensraum*, ecolog  environment  habitat
ENVIRONMENT,ENVIRONMENT,emission, emission, emission
ENVIRONMENT,ENVIRONMENT,waste,Abfall, litter garbage
ENVIRONMENT,ENVIRONMENT,recycling,recycl, recycl  re-cycl
GROUPS,ETHNIC,asian, asiat, asian
GROUPS,ETHNIC,buddhist, buddhist, buddhist
GROUPS,ETHNIC,ethnic, ethnisch, ethnic
INSTITUTIONS,CONSERVATIVE,continuity, fortsetz Fortgesetz weitergehen, continu
INSTITUTIONS,CONSERVATIVE,disrupt, Stör Unerbrech, disrupt
INSTITUTIONS,CONSERVATIVE,inspect, pruf*, inspect
INSTITUTIONS,CONSERVATIVE,jurisdiction,Rechstsprech Jurist, jurisdiction
INSTITUTIONS,CONSERVATIVE,administration, verwalt administr, manag administ
INSTITUTIONS,CONSERVATIVE,rule, regel, rule
INSTITUTIONS,CONSERVATIVE,strike, streik Arbeitsniederle, strike
INSTITUTIONS,NEUTRAL,advisory, beratung consult, advisory counsil conult
INSTITUTIONS,NEUTRAL,agency, agentur, agenc
INSTITUTIONS,NEUTRAL,appoint, ernenn, appoint
INSTITUTIONS,NEUTRAL,chair,vorsitz, chair
INSTITUTIONS,NEUTRAL,commission, kommission, commission
INSTITUTIONS,NEUTRAL,committee, ausschuss kommittee, committee
INSTITUTIONS,NEUTRAL,constituency, consitutiv, constituen
INSTITUTIONS,NEUTRAL,department, abteil, department
INSTITUTIONS,NEUTRAL,directorate, direktion Geschäftsführ, directorate
INSTITUTIONS,NEUTRAL,executive, exekutiv, executive
INSTITUTIONS,NEUTRAL,legislative, gesetzgeb, legislat
INSTITUTIONS,NEUTRAL,minister, minister, minister secretary
INSTITUTIONS,NEUTRAL,organisation, organisation institution, organisation institution
INSTITUTIONS,NEUTRAL,parliament, parlament, parliament
INSTITUTIONS,NEUTRAL,president, prasident, president
INSTITUTIONS,NEUTRAL,procedure, verfahr process, procedur process
INSTITUTIONS,NEUTRAL,registry, registrierung, regist
INSTITUTIONS,NEUTRAL,scheme, plan schema, scheme
INSTITUTIONS,NEUTRAL,sovereignty, souveran, sovereign
INSTITUTIONS,NEUTRAL,subcommittee, unterausschuss, subcommittee
INSTITUTIONS,NEUTRAL,tribunal, tribunal, tribunal
INSTITUTIONS,NEUTRAL,vote, abstimm wahl stimme, vote poll elect
INSTITUTIONS,RADICAL,corruption, korrupt, corrupt
INSTITUTIONS,RADICAL,democratic, demokrat, democratic
INSTITUTIONS,RADICAL,innovatation, modern innovativ, modern innovative
INSTITUTIONS,RADICAL,rebuild,Wiederaufbau, rebuild
INSTITUTIONS,RADICAL,reform, reform, reform
INSTITUTIONS,RADICAL,re-organisation, reorganisition, re-organi
INSTITUTIONS,RADICAL,repeal, aufheb, repeal
INSTITUTIONS,RADICAL,replace, ersetz ersatz, replace
INSTITUTIONS,RADICAL,representat, repräsentat, representat
INSTITUTIONS,RADICAL,scandal, skandal, scandal
INSTITUTIONS,RADICAL,scrap, schrott, scrap
INSTITUTIONS,RADICAL,scrutin, hinterfrag nachforsch, scrutin
INSTITUTIONS,RADICAL,transform, verwandeln transform, transform
LAW_AND_ORDER,LAW-CONSERVATIVE,conviction, verurteil, convict
LAW_AND_ORDER,LAW-CONSERVATIVE,custodody, gewahrsam, custod
LAW_AND_ORDER,LAW-CONSERVATIVE,drug, drogen, drug
LAW_AND_ORDER,LAW-CONSERVATIVE,force, macht , force
LAW_AND_ORDER,LAW-CONSERVATIVE,fraud, betrug, fraud
LAW_AND_ORDER,LAW-CONSERVATIVE,guardian,Überwachung Bewach, guard
LAW_AND_ORDER,LAW-CONSERVATIVE,hooligan, rowdy hooligan, hooligan
LAW_AND_ORDER,LAW-CONSERVATIVE,illegal, illegal  gesetzlos, illegal  lawless
LAW_AND_ORDER,LAW-CONSERVATIVE,intimidattion, einschüchter, intimidat
LAW_AND_ORDER,LAW-CONSERVATIVE,magistrat, richter, magistrat
LAW_AND_ORDER,LAW-CONSERVATIVE,penalty, strafrecht, penal
LAW_AND_ORDER,LAW-CONSERVATIVE,prison, gefängnis strafanstalt, prison jail
LAW_AND_ORDER,LAW-CONSERVATIVE,punishment, bestraf, punish
LAW_AND_ORDER,LAW-CONSERVATIVE,seize, ergreif, seiz
LAW_AND_ORDER,LAW-CONSERVATIVE,sentence,Urteil, sentence
LAW_AND_ORDER,LAW-CONSERVATIVE,terror, terror, terror
LAW_AND_ORDER,LAW-CONSERVATIVE,crime, diebstahl einbruch delikt kriminal, theft shoplift burgular offence  delinquen*
LAW_AND_ORDER,LAW-CONSERVATIVE,thug,Gangster, thug
LAW_AND_ORDER,LAW-CONSERVATIVE,tough, zäh hart, tough
LAW_AND_ORDER,LAW-CONSERVATIVE,trafficker, menschenhandel, trafficker
LAW_AND_ORDER,LAW-CONSERVATIVE,vandal, vandalismus, vandal
LAW_AND_ORDER,LAW-CONSERVATIVE,victim, opfer, victim
LAW_AND_ORDER,LAW-CONSERVATIVE,vigilant, wachsam, vigilan
RURAL,<NONE>,agriculture, landwirtschaft bauenhof, agricultur farm
RURAL,<NONE>,fish, fisch, fish
RURAL,<NONE>,forest, wald Forst, forest
RURAL,<NONE>,horse, pferd, horse
RURAL,<NONE>,landscape, landschaft, landscape
RURAL,<NONE>,town, dorf stadt ort, village village
VALUES,CONSERVATIVE,history, geschicht Histror, histor
VALUES,CONSERVATIVE,honour, ehre , honour
VALUES,CONSERVATIVE,immigration, einwander, immigra
VALUES,CONSERVATIVE,inheritance, erb, inherit
VALUES,CONSERVATIVE,jubilee, jubiläum, jubilee
VALUES,CONSERVATIVE,obscenity, obszön, obscen
VALUES,CONSERVATIVE,pornography, pornographie, pornograph
VALUES,CONSERVATIVE,preservation, erhalt, preserv
VALUES,CONSERVATIVE,principle, prinzipien, principl
VALUES,CONSERVATIVE,punctual, pünktlich, punctual on-time
VALUES,CONSERVATIVE,recapture, zuruckerob, recapture
VALUES,CONSERVATIVE,reliability, zuverläss, reliab
VALUES,CONSERVATIVE,threat, drohung, threat
VALUES,CONSERVATIVE,tradition, tradition, tradition
VALUES,LIBERAL,discriminatation, diskriminier benachteilig, discriminat
VALUES,LIBERAL,human, mensch, human
VALUES,LIBERAL,injustice, ungerecht, injustice
VALUES,LIBERAL,repression, repression Unterdrück, repressi
VALUES,LIBERAL,sex, sex, sex
