topic,language,type,date,experiy_date,attribute,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
CDU Vorsitz,DE,MANUAL,2020-02-16,,domestic,merkel,kramp-karrenbauer,laschet,merz,span,cdu,,,,
Corona Virus,DE,MANUAL,2020-02-16,,health,coronavirus,wuhan,italien,covid-19,,,,,,
2020-03-04-0,DE,LDA,2020-03-04,,None,millionen,ruhestand,rentenkasse,rente,euro,klinsmann,gesetz,abschläge,anfang,windhorst
2020-03-04-1,DE,LDA,2020-03-05,,None,digitalisierung,veränderungen,unternehmen,job,wandel,arbeit,mitarbeiter,selbstbewusstsein,arbeitnehmer,führungsebene
2020-03-04-2,DE,LDA,2020-03-06,,None,aura,bord,schuhe,meter,wetter,programmautomatik,passagiere,subventionen,wto,seetag
2020-03-04-3,DE,LDA,2020-03-07,,None,afd,partei,kinder,landrat,wohnungen,fragen,wohnung,baustelle,auto,kandidaten
2020-03-04-4,DE,LDA,2020-03-08,,None,konzerne,fc,firmen,verhandlungen,bundesliga,reform,insel,unternehmen,einigung,premier
2020-03-04-5,DE,LDA,2020-03-09,,None,viertel,mindestabstände,länder,vorsitzend,ländern,ökostrom,haidhausen,windkraft,isar,flächen
2020-03-04-6,DE,LDA,2020-03-10,,None,gruppe,gruppen,einladungslinks,bing,whatsapp,sonntag,netz,url,sz,treffer
2020-03-04-7,DE,LDA,2020-03-11,,None,partei,liste,mut,stadtrat,gruppierung,kommunalwahl,münchen,schritt,wahlkampf,ob
2020-03-04-8,DE,LDA,2020-03-12,,None,kramp,regulierung,pfarrheims,abnehmen,waffenrecht,fläche,wochen,medizintechnikherstellers,ertragend,ausländer
2020-03-04-9,DE,LDA,2020-03-13,,None,laschet,cdu,merz,partei,aschermittwoch,fragen,festzelt,landtagswahl,leute,ministerpräsident
2020-03-04-10,DE,LDA,2020-03-14,,None,euro,geräte,dollar,daten,airbnb,unternehmen,gäste,unterkunft,investoren,vermieter
2020-03-04-11,DE,LDA,2020-03-15,,None,bundesregierung,feld,wirtschaftsweisen,sachverständigenrat,haie,union,mehrheit,absagen,schnitzer,qualifikation
2020-03-04-12,DE,LDA,2020-03-16,,None,cdu,streit,kanzlerin,wto,politik,partei,verhältnis,röttgen,stärken,dienstag
2020-03-04-13,DE,LDA,2020-03-17,,None,wahl,partei,wähler,kandidaten,link,umfragen,cdu,union,demokraten,biden
2020-03-04-14,DE,LDA,2020-03-18,,None,st,schrein,himmel,co₂,bummelzug,gestaltung,mundwinkel,passagiere,dichten,emissionen
2020-03-04-15,DE,LDA,2020-03-19,,None,november,zahl,januar,straßenverkehr,millionen,getötet,vorjahr,leben,behörde,monaten
2020-03-04-16,DE,LDA,2020-03-20,,None,patienten,praxis,kind,urteil,arzt,coronavirus,paragraf,kindern,virus,suizid
2020-03-04-17,DE,LDA,2020-03-21,,None,krapfen,steinsdorfstraße,geld,richtung,ludlow,bäcker,stadtrat,sperrung,awi,meter
2020-03-04-18,DE,LDA,2020-03-22,,None,virus,coronavirus,infektionen,land,fall,zahl,fälle,regierung,mann,infektion
2020-03-04-19,DE,LDA,2020-03-23,,None,elternzeit,patienten,euro,frauen,winter,monate,regionen,abschläge,coronavirus,karriere
2020-03-04-20,DE,LDA,2020-03-24,,None,busse,stadt,zukunft,euro,sz,busfahrer,bus,mini,parteien,wahlcheck
2020-03-04-21,DE,LDA,2020-03-25,,None,konzern,fluggesellschaften,tesla,folgen,virus,entscheidung,milliarden,airlines,fabrik,bau
2020-03-04-22,DE,LDA,2020-03-26,,None,schuhe,soldaten,virus,staaten,umweltbonus,russland,euro,kilometer,übung,hausschuhe
2020-03-04-23,DE,LDA,2020-03-27,,None,kita,geld,gute,eltern,land,millionen,euro,gebühren,gesetz,bund
2020-03-04-24,DE,LDA,2020-03-28,,None,patienten,spahn,merz,urteil,leben,cdu,fragen,laschet,sterbehilfe,ärzte
2020-03-04-25,DE,LDA,2020-03-29,,None,frauen,männer,co₂,himmel,frau,passagiere,norden,thron,kaiser,welt
2020-03-04-26,DE,LDA,2020-03-30,,None,frauen,untersuchung,oper,übergriffe,bewegung,anschuldigungen,oktober,vorwürfen,zuge,wohnung
2020-03-04-27,DE,LDA,2020-03-31,,None,kinder,bildungsbericht,anteil,stadt,schüler,coronavirus,quote,migrationshintergrund,zahl,börse
2020-03-04-28,DE,LDA,2020-04-01,,None,angreifen,taliban,bundeswehr,wochen,beschwerde,soldaten,bundesrepublik,söhne,opfer,bundesanwaltschaft
2020-03-04-29,DE,LDA,2020-04-02,,None,mann,maske,masken,kopf,experiment,euro,gericht,polizei,gesichter,millionen